Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,126,B,0.1623,,M,0.866786855,0.812182869,0.511,2.015163583,0.772493167,13.77938946,0.555593079,1.70276443,,,-0.2915791,0.304310306,-0.112105353,1.139229975,-0.255243173,0.231154569
Stress,126,C,0.1767,,F,1.0379588,1.079135856,1.3486,0.845316563,0.735906344,2.788404886,0.99453947,0.920961142,,,0.129883155,-0.072980621,-0.133177453,0.445355835,-0.002377976,-0.035758694
Stress,126,D,0.1618,,M,1.369594848,1.186361075,0.8447,1.582892876,0.892502064,2.607691845,0.77670242,1.225082458,,,-0.073297506,0.199451525,-0.049390771,0.416256269,-0.109745342,0.088165321
Stress,126,E,0.1574,,M,1.923520466,1.21689934,1.0942,1.962324486,0.849249721,0.715871919,2.488771651,1.538167048,,,0.03909671,0.292770823,-0.070964587,-0.145164673,0.395985051,0.187003503
Stress,126,F,0.1895,,F,0.544781335,0.963624626,1.3087,0.444697733,1.59947016,0.345344159,1.970780634,0.693136882,,,0.116840102,-0.351935085,0.203976142,-0.461747885,0.294638286,-0.159180992
Stress,126,G,0.1685,,F,0.848948639,1.369082927,1.8423,0.37567672,0.877169413,0.275051446,0.980847351,1.387876175,,,0.265360352,-0.425185717,-0.056916521,-0.560586068,-0.008398576,0.142350721
Stress,126,H,0.1803,,M,1.478105432,1.433832503,0.7161,1.246224187,0.85515672,0.997305027,0.968461901,0.998530817,,,-0.145026326,0.095596176,-0.067954287,-0.001171992,-0.01391746,-0.000638527
Stress,126,I,,,F,0.219721687,0.572974631,0.9999,1.006418459,1.772674204,1.852457008,2.89540909,0.564956695,,,-4.34E-05,0.002778594,0.248628925,0.267748138,0.461709934,-0.24798484
Stress,127,A,0.142,,F,0.66147071,0.777299864,2.2446,0.867075959,0.545604486,1.323575104,0.124317434,0.717580301,,,0.351138959,-0.061942855,-0.263122068,0.12174859,-0.905467963,-0.144129492
Stress,127,B,0.1327,,M,0.248919159,0.561182984,2.0277,0.926093838,1.631192911,1.599668975,1.809302791,0.64597289,,,0.307003701,-0.033345005,0.212505325,0.204030122,0.257511253,-0.189785708
Stress,127,C,0.1436,,M,1.030789095,1.044787713,0.958,0.765370547,1.257821683,1.446707632,1.919105291,1.07639843,,,-0.018634491,-0.116128254,0.099619077,0.160380773,0.283098803,0.031973056
